,date,email_opened,response,treatment_group_key,UUID_hash2
0,2017-11-22,0.0,0,t10,7046538529512660515
1,2017-11-26,0.0,0,t4,2553545477797482936
2,2017-11-25,0.0,0,t1,-5223019697696090498
3,2017-11-23,1.0,1,t5,6116200804706946872
4,2017-11-25,1.0,1,t3,-8847358758410287247
5,2017-11-23,0.0,0,t4,5518474466839786659
6,2017-11-25,1.0,1,t6,7997641446638817224
7,2017-11-26,0.0,0,t7,-4294576098856261956
8,2017-11-25,0.0,0,t9,-3274109512241865986
9,2017-11-26,1.0,1,t5,5486171696957393565
10,2017-11-24,0.0,0,t1,-8897860298819432295
11,2017-11-23,0.0,0,t10,-4285787082557409496
12,2017-11-24,1.0,1,t8,-2886055482101681062
13,2017-11-26,0.0,0,t1,-5842617431801870203
14,2017-11-26,1.0,1,t2,2263626308952567175
15,2017-11-24,0.0,0,t4,6350684830485378726
16,2017-11-26,1.0,1,t2,740255752726305548
17,2017-11-25,0.0,0,t7,-3133723272540220664
18,2017-11-25,1.0,1,t8,2059044758262968487
19,2017-11-25,0.0,0,t2,-8442644392109917797
20,2017-11-25,0.0,0,t4,1601826519456391028
21,2017-11-25,0.0,0,t2,-8693150417371273940
22,2017-11-22,0.0,0,t7,4643049866650688081
23,2017-11-22,0.0,0,t2,5086842930697271341
24,2017-11-23,1.0,1,t10,4013438434595281139
25,2017-11-24,0.0,0,t10,246976096564366380
26,2017-11-26,0.0,0,t10,2908735850065364256
27,2017-11-23,0.0,0,t7,3597752855419457853
28,2017-11-25,1.0,1,t2,1510917514598988620
29,2017-11-25,0.0,0,t10,6168444021435047920
30,2017-11-26,1.0,1,t3,4659786575472021454
31,2017-11-23,0.0,0,t8,-3879437482605334812
32,2017-11-22,0.0,0,t6,1351109564945935781
33,2017-11-26,0.0,0,t1,8059529732652268494
34,2017-11-22,0.0,0,t5,-628508039169230311
35,2017-11-25,0.0,0,t7,995117970635846937
36,2017-11-26,1.0,1,t10,6019834414166805854
37,2017-11-23,0.0,0,t8,5949281018236497884
38,2017-11-26,0.0,0,t9,-3050190618633447767
39,2017-11-23,0.0,0,t3,-5031563487092737706
40,2017-11-24,1.0,1,t4,6831374677063275806
41,2017-11-24,0.0,0,t6,5847511636361464225
42,2017-11-24,0.0,0,t2,-8748774083736246353
43,2017-11-25,0.0,0,t4,-1675050952104627757
44,2017-11-26,0.0,0,t8,8143194431435072349
45,2017-11-23,1.0,1,t2,-1195220297390889323
46,2017-11-23,1.0,1,t2,7584969787533686099
47,2017-11-25,1.0,1,t2,-5947396753716744523
48,2017-11-22,0.0,0,t10,-6234653179202058632
49,2017-11-26,0.0,0,t7,-8296959312918216906
50,2017-11-25,1.0,1,t8,-7667926464200308646
51,2017-11-25,0.0,0,t4,1335393007367262649
52,2017-11-23,0.0,0,t3,-5995297385252716496
53,2017-11-24,1.0,1,t6,-1415417765762077138
54,2017-11-26,1.0,1,t9,5778843824025786464
55,2017-11-24,0.0,0,t6,-7329831816137561191
56,2017-11-24,1.0,1,t4,-5278240510380835368
57,2017-11-25,0.0,0,t5,-1701698559187194013
58,2017-11-26,1.0,1,t1,4544857628345243423
59,2017-11-25,0.0,0,t8,-3329967267193638092
60,2017-11-26,0.0,0,t8,-7882014792535490992
61,2017-11-26,0.0,0,t8,-880441112216435144
62,2017-11-25,0.0,0,t6,7899775924201158407
63,2017-11-26,1.0,1,t6,-8408164461341675211
64,2017-11-26,1.0,1,t10,-5475310306228074254
65,2017-11-25,0.0,0,t4,-4007768709100826299
66,2017-11-26,0.0,0,t1,-3725033015153102343
67,2017-11-25,0.0,0,t4,5415369875880302005
68,2017-11-24,0.0,0,t3,7195587891445340144
69,2017-11-22,1.0,1,t2,-3821415543619110913
70,2017-11-24,0.0,0,t4,-9076531991228149273
71,2017-11-23,1.0,1,t3,861433143077544896
72,2017-11-24,0.0,0,t8,-3630943291194482193
73,2017-11-25,0.0,0,t5,6156227806873091988
74,2017-11-26,1.0,1,t9,-4947400875113624992
75,2017-11-26,0.0,0,t6,-7311450161680846742
76,2017-11-25,0.0,0,t6,-4060379122278819642
77,2017-11-24,0.0,0,t4,7030619390342716902
78,2017-11-25,0.0,0,t1,7243745524243911503
79,2017-11-24,0.0,0,t7,-29231992631485110
80,2017-11-24,0.0,0,t8,-895675917584380980
81,2017-11-25,1.0,1,t1,-1099692253793940359
82,2017-11-24,0.0,0,t3,3545589309198990962
83,2017-11-22,0.0,0,t10,-8798237681068606225
84,2017-11-24,0.0,0,t10,-827906796769660525
85,2017-11-23,0.0,0,t4,294976038821586064
86,2017-11-24,1.0,1,t9,9132140681539616449
87,2017-11-26,0.0,0,t1,-4153888198501396075
88,2017-11-26,1.0,1,t2,1734472488859681989
89,2017-11-24,1.0,1,t8,8961378030951838147
90,2017-11-22,0.0,0,t1,-3217730611300063337
91,2017-11-23,0.0,0,t5,-2199712566957708055
92,2017-11-26,1.0,1,t4,3235499036201000162
93,2017-11-26,1.0,1,t7,1371948750569931571
94,2017-11-24,0.0,0,t5,5554884760666622670
95,2017-11-22,0.0,0,t1,6159749180890001322
96,2017-11-25,1.0,1,t8,-2443204554927999372
97,2017-11-25,1.0,1,t4,-7255253920372737213
98,2017-11-23,0.0,0,t7,-7135276726909500006
99,2017-11-23,0.0,0,t5,-6732462435036720021
100,2017-11-25,0.0,0,t9,4337985585587870502
101,2017-11-24,0.0,0,t6,-941385998160306070
102,2017-11-23,0.0,0,t4,4834747016560619773
103,2017-11-25,0.0,0,t4,7350610355517445305
104,2017-11-26,1.0,1,t3,7614434137556773557
105,2017-11-26,0.0,0,t5,-4814268366912239835
106,2017-11-26,0.0,0,t9,-5577943450276357494
107,2017-11-22,0.0,0,t4,-2181064968729544738
